OBJECTID,Year_Observed,StnLocation,Latitude,Longitude,Didemnum_vexillum,FCName,StnNum,Prov,Botrylloides_violaceus,Botryllus_schlosseri,Ciona_intestinalis,sampler,StnDescription,StructureType,Caprella_mutica,Membranipora_membranacea,Ascidiella_aspersa,Diplosoma_listerianum,Styela_clava,Codium_fragile
1,2013,Parrsboro,45.3761,-64.277,1,Dvex_2013_2017,,,,,,,,,,,,,,
2,2014,2,45.3672,-64.2291,1,Dvex_2013_2017,,,,,,,,,,,,,,
3,2014,3,45.3687,-64.2228,1,Dvex_2013_2017,,,,,,,,,,,,,,
4,2014,5,45.3654,-64.2009,1,Dvex_2013_2017,,,,,,,,,,,,,,
5,2014,6,45.3744,-64.3707,1,Dvex_2013_2017,,,,,,,,,,,,,,
6,2014,11,45.3624,-64.2915,1,Dvex_2013_2017,,,,,,,,,,,,,,
7,2014,12,45.3705,-64.2565,1,Dvex_2013_2017,,,,,,,,,,,,,,
8,2014,13,45.3732,-64.2789,1,Dvex_2013_2017,,,,,,,,,,,,,,
9,2014,14,45.3741,-64.2598,1,Dvex_2013_2017,,,,,,,,,,,,,,
10,2014,15,45.3595,-64.2781,1,Dvex_2013_2017,,,,,,,,,,,,,,
11,2014,16,45.3644,-64.2625,1,Dvex_2013_2017,,,,,,,,,,,,,,
12,2014,17,45.3662,-64.2277,1,Dvex_2013_2017,,,,,,,,,,,,,,
13,2014,18,45.3698,-64.2531,1,Dvex_2013_2017,,,,,,,,,,,,,,
14,2014,19,45.3762,-64.302,1,Dvex_2013_2017,,,,,,,,,,,,,,
15,2014,20,45.2335,-64.5522,1,Dvex_2013_2017,,,,,,,,,,,,,,
16,2014,21,45.2393,-64.5315,1,Dvex_2013_2017,,,,,,,,,,,,,,
17,2014,22,45.2507,-64.5079,1,Dvex_2013_2017,,,,,,,,,,,,,,
18,2014,23,45.235,-64.5255,1,Dvex_2013_2017,,,,,,,,,,,,,,
19,2014,24,45.2295,-64.5775,1,Dvex_2013_2017,,,,,,,,,,,,,,
20,2014,26,45.3241,-64.6942,1,Dvex_2013_2017,,,,,,,,,,,,,,
21,2014,27,45.3343,-64.6804,1,Dvex_2013_2017,,,,,,,,,,,,,,
22,2014,28,45.3404,-64.6792,1,Dvex_2013_2017,,,,,,,,,,,,,,
23,2014,30,45.3221,-64.6891,1,Dvex_2013_2017,,,,,,,,,,,,,,
24,2014,9,45.3649,-64.2723,0,Dvex_2013_2017,,,,,,,,,,,,,,
25,2014,4,45.3618,-64.212,0,Dvex_2013_2017,,,,,,,,,,,,,,
26,2014,7,45.3657,-64.3648,0,Dvex_2013_2017,,,,,,,,,,,,,,
27,2014,8,45.3648,-64.3809,0,Dvex_2013_2017,,,,,,,,,,,,,,
28,2014,10,45.3647,-64.2702,0,Dvex_2013_2017,,,,,,,,,,,,,,
29,2014,25,45.2722,-64.5242,0,Dvex_2013_2017,,,,,,,,,,,,,,
30,2014,29,45.3521,-64.6852,0,Dvex_2013_2017,,,,,,,,,,,,,,
31,2014,31,45.312,-64.7081,0,Dvex_2013_2017,,,,,,,,,,,,,,
32,2014,110,43.94038,-66.3546,1,Dvex_2013_2017,,,,,,,,,,,,,,
33,2014,340,44.72512,-65.8684,1,Dvex_2013_2017,,,,,,,,,,,,,,
34,2014,225,45.34723,-64.664,1,Dvex_2013_2017,,,,,,,,,,,,,,
35,2014,226,45.3585,-64.664,1,Dvex_2013_2017,,,,,,,,,,,,,,
36,2014,227,45.38383,-64.6451,1,Dvex_2013_2017,,,,,,,,,,,,,,
37,2014,229,45.293,-64.5242,1,Dvex_2013_2017,,,,,,,,,,,,,,
38,2014,230,45.30053,-64.5071,1,Dvex_2013_2017,,,,,,,,,,,,,,
39,2014,232,45.25177,-64.5113,1,Dvex_2013_2017,,,,,,,,,,,,,,
40,2014,258,45.30472,-64.9519,1,Dvex_2013_2017,,,,,,,,,,,,,,
41,2015,Wilson's Beach Stn 145,44.9283,-66.939,0,Dvex_2013_2017,,,,,,,,,,,,,,
42,2015,Welshpool Stn 202,44.8911,-66.9609,0,Dvex_2013_2017,,,,,,,,,,,,,,
43,2015,Leonardville Stn 146,44.9716,-66.9527,0,Dvex_2013_2017,,,,,,,,,,,,,,
44,2015,Digby Stn 001,44.63015,-65.75233,0,Dvex_2013_2017,,,,,,,,,,,,,,
45,2015,Meteghan Stn 002,44.19365,-66.1688,0,Dvex_2013_2017,,,,,,,,,,,,,,
46,2015,Yarmouth Bar Stn 004,43.81648,-66.14785,0,Dvex_2013_2017,,,,,,,,,,,,,,
47,2015,Yarmouth Yacht Club Stn 162,43.83636,-66.1233,0,Dvex_2013_2017,,,,,,,,,,,,,,
48,2015,Wedgeport Stn 006,43.7137,-65.9647,0,Dvex_2013_2017,,,,,,,,,,,,,,
49,2015,Clark's Harbour Stn 008,43.4447,-65.6351,0,Dvex_2013_2017,,,,,,,,,,,,,,
50,2015,Port La Tour Stn 009,43.49848,-65.46988,0,Dvex_2013_2017,,,,,,,,,,,,,,
51,2015,Shearwater Yacht Club Stn 430,44.6281,-63.5211,0,Dvex_2013_2017,,,,,,,,,,,,,,
52,2015,Harbour de Loutre,44.92008667,-66.94055667,0,Dvex_2013_2017,,,,,,,,,,,,,,
53,2016,Mahone Bay,44.4338,-64.2976,0,Dvex_2013_2017,,,,,,,,,,,,,,
54,2016,Lobster Bay,43.5778,-65.8185,0,Dvex_2013_2017,,,,,,,,,,,,,,
55,2016,Harborville  (Minas Bsn),45.1593,-64.8149,0,Dvex_2013_2017,,,,,,,,,,,,,,
56,2016,East Bay / Parrsboro,45.3675,-64.3625,0,Dvex_2013_2017,,,,,,,,,,,,,,
57,2016,Greville  Bay (Advocate),45.384,-64.6212,1,Dvex_2013_2017,,,,,,,,,,,,,,
58,2016,Fairhaven extra,44.96196667,-67.01111667,0,Dvex_2013_2017,,,,,,,,,,,,,,
59,2016,Fairhaven,44.9625,-67.0147,0,Dvex_2013_2017,,,,,,,,,,,,,,
60,2016,Pendleton,45.0207,-66.9645,0,Dvex_2013_2017,,,,,,,,,,,,,,
61,2016,Wilson's Beach,44.9313,-66.9433,0,Dvex_2013_2017,,,,,,,,,,,,,,
62,2016,Harbour d'Loutre,44.9194,-66.9419,0,Dvex_2013_2017,,,,,,,,,,,,,,
63,2016,Welshpool,44.8938,-66.9603,0,Dvex_2013_2017,,,,,,,,,,,,,,
64,2016,SABS,45.0854,-67.08912,0,Dvex_2013_2017,,,,,,,,,,,,,,
65,2016,BF2016ÿ - tow50ÿÿÿÿÿÿÿ,44.79151667,-65.70533333,0,Dvex_2013_2017,,,,,,,,,,,,,,
66,2016,BF2016ÿ - tow70ÿÿÿÿÿÿÿ,44.77008333,-65.80326667,0,Dvex_2013_2017,,,,,,,,,,,,,,
67,2016,BF2016ÿ - tow71ÿÿÿÿÿÿÿ,44.76158333,-65.82736667,0,Dvex_2013_2017,,,,,,,,,,,,,,
68,2016,BF2016ÿ - tow132ÿÿÿÿÿÿ,44.76701667,-66.14588333,0,Dvex_2013_2017,,,,,,,,,,,,,,
69,2016,BF2016ÿ - tow133ÿÿÿÿÿÿ,44.77595,-66.1028,0,Dvex_2013_2017,,,,,,,,,,,,,,
70,2016,BF2016ÿ - tow147ÿÿÿÿÿÿ,44.8169,-66.09765,0,Dvex_2013_2017,,,,,,,,,,,,,,
71,2016,BF2016ÿ - tow148ÿÿÿÿÿÿ,44.82163333,-66.12576667,0,Dvex_2013_2017,,,,,,,,,,,,,,
72,2016,BF2016ÿ - tow149ÿÿÿÿÿÿ,44.82983333,-66.13548333,0,Dvex_2013_2017,,,,,,,,,,,,,,
73,2016,BF2016ÿ - tow155ÿÿÿÿÿÿ,44.98433333,-66.0202,0,Dvex_2013_2017,,,,,,,,,,,,,,
74,2016,BF2016ÿ - tow252ÿÿÿÿÿÿ,45.06096667,-65.12056667,0,Dvex_2013_2017,,,,,,,,,,,,,,
75,2016,BF2016ÿ - tow253ÿÿÿÿÿÿ,45.06108333,-65.08685,0,Dvex_2013_2017,,,,,,,,,,,,,,
76,2016,GM2016 - tow68ÿÿÿÿÿÿÿÿÿ,44.55633333,-66.98528333,0,Dvex_2013_2017,,,,,,,,,,,,,,
77,2016,GM2016 - tow84ÿÿÿÿÿÿÿÿÿ,44.87593333,-66.70473333,0,Dvex_2013_2017,,,,,,,,,,,,,,
78,2016,GM2016 - tow86ÿÿÿÿÿÿÿÿÿ,44.90863333,-66.75433333,0,Dvex_2013_2017,,,,,,,,,,,,,,
79,2016,GM2016 - tow96ÿÿÿÿÿÿÿÿÿ,44.80185,-66.88203333,0,Dvex_2013_2017,,,,,,,,,,,,,,
80,2016,GM2016 - tow104ÿÿÿÿÿÿÿ,44.93523333,-66.94791667,0,Dvex_2013_2017,,,,,,,,,,,,,,
81,2016,SFA292016 - tow13ÿÿÿÿÿÿÿÿÿÿ,43.51058333,-66.22683333,0,Dvex_2013_2017,,,,,,,,,,,,,,
82,2016,SFA292016 - tow19ÿÿÿÿÿÿÿÿÿÿ,43.48648333,-66.12276667,0,Dvex_2013_2017,,,,,,,,,,,,,,
83,2016,SFA292016 - tow21ÿÿÿÿÿÿÿÿÿÿ,43.51373333,-66.18471667,0,Dvex_2013_2017,,,,,,,,,,,,,,
84,2016,SFA292016 - tow25ÿÿÿÿÿÿÿÿÿÿ,43.6381,-66.21698333,0,Dvex_2013_2017,,,,,,,,,,,,,,
85,2016,SFA292016 - tow30ÿÿÿÿÿÿÿÿÿÿ,43.57101667,-66.30898333,0,Dvex_2013_2017,,,,,,,,,,,,,,
86,2016,SFA292016 - tow41ÿÿÿÿÿÿÿÿÿÿ,43.22658333,-66.16606667,0,Dvex_2013_2017,,,,,,,,,,,,,,
87,2016,SFA292016 - tow56ÿÿÿÿÿÿÿÿÿÿ,43.30201667,-65.9234,0,Dvex_2013_2017,,,,,,,,,,,,,,
88,2016,SFA292016 - tow77ÿÿÿÿÿÿÿÿÿÿ,43.26628333,-65.91486667,0,Dvex_2013_2017,,,,,,,,,,,,,,
89,2017,Chester,44.5237817,-64.2762158,0,Dvex_2013_2017,,,,,,,,,,,,,,
