UID,SCIENTIFIC_NAME,COMMON_NAME,NUMBER_CAUGHT,BIOMASS,COMMENTS
BOF2009001.001.B,Osmerus mordax,smelt,2,NA,NA
BOF2009001.002.B,Pseudopleuronectes americanus,winter flounder,46,NA,NA
BOF2009001.003.B,Alosa pseudoharengus,alewife,1,NA,NA
BOF2009001.004.B,Aurelia aurita,moon jelly,3408,75710,NA
BOF2009001.005.B,Clupea harengus,herring,3,NA,NA
BOF2009001.006.B,Cucumaria frondosa,orange-footed sea cucumber,264,NA,NA
BOF2009001.007.B,Chloropyhta,Chloropyhta,1,NA,NA
BOF2009001.001.B,Halichondria sp.,Halichondria sp.,1,NA,NA
BOF2009001.002.B,Hemitripterus americanus,sea raven,1,NA,NA
BOF2009001.003.B,Homarus americanus,American lobster,18,NA,NA
BOF2009001.004.B,Isodictya palmata,palmate sponge,2,NA,NA
BOF2009001.005.B,Leucoraja erinacea,little skate,3,NA,NA
BOF2009001.006.B,Merluccius bilinearis,silver hake,30,NA,NA
BOF2009001.007.B,Myoxocephalus octodecemspinosus,longhorn sculpin,6,NA,NA
BOF2009001.008.B,Osmerus mordax,smelt,13,NA,NA
BOF2009001.009.B,Pandalus borealis,northern shrimp,6125,NA,NA
BOF2009001.001.B,Placopecten magellanicus,deep sea scallop,7,NA,NA
BOF2009001.002.B,Pseudopleuronectes americanus,winter flounder,12,NA,NA
BOF2009001.003.B,Rhodophyta,Rhodophyta,1,NA,NA
BOF2009001.004.B,Scophthalmus aquosus,windowpane flounder,1,NA,NA
BOF2009001.005.B,Solaster endeca,smooth sunstar,1,NA,NA
BOF2009001.006.B,Strongylocentrotus droebachiensis,green sea urchin,9,NA,NA
BOF2009001.007.C,Alosa pseudoharengus,alewife,13,NA,NA
BOF2009001.008.C,Clupea harengus,herring,2,NA,NA
BOF2009001.009.C,Cucumaria frondosa,orange-footed sea cucumber,10,NA,NA
BOF2009001.01.C,Cyclopterus lumpus,lumpfish,2,NA,NA
BOF2009001.011.C,Gadus morhua,Atlantic cod,4,NA,NA
BOF2009001.012.C,Hemitripterus americanus,sea raven,2,NA,NA
BOF2009001.001.C,Homarus americanus,American lobster,29,NA,NA
BOF2009001.002.C,Leucoraja erinacea,little skate,20,NA,NA
BOF2009001.003.C,Leucoraja ocellata,winter skate,2,NA,NA
BOF2009001.004.C,Merluccius bilinearis,silver hake,47,NA,NA
BOF2009001.005.C,Myoxocephalus octodecemspinosus,longhorn sculpin,1,NA,NA
BOF2009001.006.C,Osmerus mordax,smelt,37,NA,NA
BOF2009001.007.C,Pseudopleuronectes americanus,winter flounder,15,NA,NA
BOF2009001.008.C,Solaster endeca,smooth sunstar,1,NA,NA
BOF2009001.009.C,Strongylocentrotus droebachiensis,green sea urchin,3,NA,NA
BOF2009001.01.C,Triglops sp.,triglops sp.,1,NA,NA
BOF2009001.011.A,Alosa pseudoharengus,alewife,2,NA,NA
BOF2009001.012.A,Amaroucium sp.,sea pork,3,NA,NA
BOF2009001.013.A,Asterias vulgaris,northern sea star,5,NA,NA
BOF2009001.014.A,Aurelia aurita,moon jelly,852,18927,NA
BOF2009001.015.A,Boltenia ovifera,stalked sea squirt,464,NA,NA
BOF2009001.016.A,Ciona intestinalis,sea vase,1,NA,NA
BOF2009001.017.A,Clupea harengus,herring,1,NA,NA
BOF2009001.018.A,Cucumaria frondosa,orange-footed sea cucumber,4,NA,NA
BOF2009001.019.A,Cyclopterus lumpus,lumpfish,1,NA,NA
BOF2009001.001.A,Didemnum sp.,colonial tunicate,1,NA,NA
BOF2009001.002.A,Gadus morhua,Atlantic cod,1,NA,NA
BOF2009001.003.A,Harmothoe imbricata,15-scale worm,1,NA,NA
BOF2009001.004.A,Henricia sanguinolenta,blood star,1,NA,NA
BOF2009001.005.A,Homarus americanus,American lobster,10,NA,NA
BOF2009001.006.A,Isodictya palmata,palmate sponge,1,NA,NA
BOF2009001.007.A,Lebbeus groenlandicus,Greenland shrimp,1,NA,NA
BOF2009001.008.A,Leucoraja erinacea,little skate,3,NA,NA
BOF2009001.009.A,Merluccius bilinearis,silver hake,13,NA,NA
BOF2009001.01.A,Osmerus mordax,smelt,12,NA,NA
BOF2009001.011.A,Pandalus montagui,Montague shrimp,155,NA,NA
BOF2009001.012.A,Placopecten magellanicus,deep sea scallop,7,NA,NA
BOF2009001.013.A,Pseudopleuronectes americanus,winter flounder,18,NA,NA
BOF2009001.014.A,Urticina felina,northern red anemone,3,NA,NA
BOF2009001.015.C,Asterias vulgaris,northern sea star,4,NA,NA
BOF2009001.016.C,Boltenia ovifera,stalked sea squirt,32,NA,NA
BOF2009001.017.C,Clupea harengus,herring,613,NA,NA
BOF2009001.018.C,Cucumaria frondosa,orange-footed sea cucumber,1,NA,NA
BOF2009001.019.C,Homarus americanus,American lobster,14,NA,NA
BOF2009001.02.C,Merluccius bilinearis,silver hake,49,NA,NA
BOF2009001.001.C,Myoxocephalus octodecemspinosus,longhorn sculpin,1,NA,NA
BOF2009001.002.C,Osmerus mordax,smelt,110,NA,NA
BOF2009001.003.C,Pandalus borealis,northern shrimp,5,NA,NA
BOF2009001.004.C,Peprilus triacanthus,butterfish,1,NA,NA
BOF2009001.005.C,Placopecten magellanicus,deep sea scallop,3,NA,NA
BOF2009001.006.C,Pseudopleuronectes americanus,winter flounder,82,NA,NA
BOF2009001.007.C,Urophycis tenuis,white hake,2,NA,NA
BOF2009001.008.B,Alosa pseudoharengus,alewife,2,NA,NA
BOF2009001.009.B,Aurelia aurita,moon jelly,74,1629,NA
BOF2009001.01.B,Clupea harengus,herring,154,NA,NA
BOF2009001.011.B,Homarus americanus,American lobster,83,NA,NA
BOF2009001.012.B,Isodictya palmata,palmate sponge,4,NA,NA
