SETNO,START_SET,END_SET,LONGITUDE_START,LATITUDE_START,LONGITUDE_FINISH,LATITUDE_FINISH,DEPTH_START,DEPTH_FINISH,SET_DIST,SET_SECS,SET_SPEED,SPEED,DEPTH_TRWL_AVE,TEMP_TRWL_AVE
BOF2009001.001.B,2009-07-09T10:04:00Z,2009-07-09T10:29:00Z,-66.9293,45.1168,-66.945,45.1266,12,15,1802.5689299864864,1500,4.326165431967567,2.2,NA,NA
BOF2009001.002.B,2009-07-09T11:50:00Z,2009-07-09T12:20:00Z,-66.9474,45.0877,-66.9381,45.0732,56,86,1215.5636802812019,1800,2.4311273605624035,2,NA,NA
BOF2009001.003.C,2009-07-10T09:27:00Z,2009-07-10T09:57:00Z,-67.0116,44.997,-67.0204,44.9817,46,44,1186.570861549733,1800,2.373141723099466,2.1,NA,NA
BOF2009001.004.A,2009-07-10T11:43:00Z,2009-07-10T11:54:00Z,-67.1081,45.1056,-67.1112,45.1112,29,30,422.6771608472719,660,2.3055117864396646,2.1,NA,NA
BOF2009001.005.C,2009-07-10T01:08:00Z,2009-07-10T01:38:00Z,-67.0548,45.03,-67.0422,45.0157,32,45,1536.903879840258,1800,3.0738077596805162,2,NA,NA
BOF2009001.006.B,2009-08-14T09:53:00Z,2009-08-14T10:24:00Z,-66.9342,45.1174,-66.9535,45.1287,15,16,2208.3277895385245,1860,4.274182818461661,2,NA,NA
BOF2009001.007.B,2009-08-14T11:42:00Z,2009-08-14T12:17:00Z,-66.9446,45.0867,-66.9344,45.0678,55,68,1406.0512888182325,2100,2.410373637974113,1.9,NA,NA
BOF2011001.001.B,2011-07-21T09:47:00Z,2011-07-21T10:21:00Z,-66.9504,45.0837,-66.9716,45.0994,56,32,2461.7433147127126,2040,4.344252908316552,2.4,41.89,10.95
BOF2011001.002.C,2011-07-21T13:25:00Z,2011-07-21T13:55:00Z,-67.0397,45.0183,-67.0265,45.0507,36,20,2039.36378856188,1800,4.07872757712376,2.4,26.7,11.18
BOF2011001.003.A,2011-07-22T11:28:00Z,2011-07-22T11:58:00Z,-67.0848,45.0655,-67.07,45.0499,24,26,1784.4826224652613,1800,3.5689652449305225,2.4,25.51,11.19
BOF2011001.004.A,2011-07-22T13:02:00Z,2011-07-22T13:32:00Z,-67.119,45.1216,-67.107,45.1058,25,27,1503.8561480293067,1800,3.0077122960586133,2.4,26.25,11.64
BOF2011001.005.B,2011-08-18T09:22:00Z,2011-08-18T09:52:00Z,-66.9578,45.0695,-66.9584,45.0909,47,39,937.4627493904459,1800,1.8749254987808917,2.6,46.9,12.43
BOF2011001.006.D,2011-08-18T13:26:00Z,2011-08-18T13:56:00Z,-66.775,44.9985,-66.7483,44.9874,55,64,3017.4155020082485,1800,6.034831004016497,2.4,58.07,10
BOF2011001.007.B,2011-08-19T09:35:00Z,2011-08-19T09:56:00Z,-66.9256,45.1154,-66.944,45.1145,10,16,2052.3619092785625,1260,5.863891169367321,2.4,12.49,12.76
BOF2011001.008.C,2011-08-19T11:05:00Z,2011-08-19T11:35:00Z,-67.0473,45.0334,-67.0293,45.0393,23,19,2023.7808373606745,1800,4.047561674721349,2.4,21.09,12.57
BOF2011001.009.B,2011-09-15T09:34:00Z,2011-09-15T10:04:00Z,-66.9473,45.0719,-66.9385,45.0896,51,37,1249.8039844380091,1800,2.499607968876018,2.4,58.76,12.83
BOF2012001.001.D,2012-07-05T11:55:00Z,2012-07-05T12:25:00Z,-66.758,44.9959,-66.7309,45.0037,59,59,3041.6356874371304,1800,6.08327137487426,2.6,NA,NA
BOF2012001.002.C,2012-07-05T14:02:00Z,2012-07-05T14:32:00Z,-67.0405,45.0089,-67.0211,44.9986,55,46,2209.5735837760312,1800,4.419147167552063,2.7,NA,NA
BOF2012001.003.B,2012-07-06T09:44:00Z,2012-07-06T10:14:00Z,-66.9378,45.0812,-66.9413,45.1022,56,21,997.8033051265891,1800,1.9956066102531782,2.7,35.77,10.7
BOF2012001.004.A,2012-08-09T09:19:00Z,2012-08-09T09:31:00Z,-67.1265,45.1318,-67.1223,45.1251,27,27,551.3061770705734,720,2.756530885352867,2.6,NA,NA
BOF2012001.005.A,2012-08-09T11:06:00Z,2012-08-09T11:36:00Z,-67.088,45.0668,-67.0773,45.0512,25,26,1372.5360156028541,1800,2.745072031205708,2.2,NA,NA
